TIME;IOITSecure447 > R Ph Voltage;IOITSecure447 > Y Ph Voltage;IOITSecure447 > B Ph Voltage;IOITSecure447 > Average Phase Voltage;IOITSecure447 > RY Line Voltage;IOITSecure447 > YB Line Voltage;IOITSecure447 > BR Line Voltage;IOITSecure447 > R Phase Line current ;IOITSecure447 > Y Phase Line current ;IOITSecure447 > B Phase Line current ;IOITSecure447 > Neutral Line current  ;IOITSecure447 > R Phase Active Current;IOITSecure447 > Y Phase Active Current;IOITSecure447 > B Phase Active Current;IOITSecure447 > R Phase Reactive Current;IOITSecure447 > Y Phase Reactive Current;IOITSecure447 > B Phase Reactive Current;IOITSecure447 > Power factor (Q1);IOITSecure447 > Power factor (Q2);IOITSecure447 > Power factor (Q3);IOITSecure447 > Avg power factor;IOITSecure447 > R- Phase Active Power;IOITSecure447 > Y- Phase Active Power;IOITSecure447 > B- Phase Active Power;IOITSecure447 > 3 Phase Active Power;IOITSecure447 > R- Phase Reactive Power;IOITSecure447 > Y- Phase Reactive Power;IOITSecure447 > B- Phase Reactive Power;IOITSecure447 > 3 Phase Reactive Power;IOITSecure447 > R- Phase Apparent Power;IOITSecure447 > Y- Phase Apparent Power;IOITSecure447 > B- Phase Apparent Power;IOITSecure447 > 3 Phase Apparent  Power;IOITSecure447 > R-Ph Voltage THD;IOITSecure447 > Y-Ph Voltage THD;IOITSecure447 > B-Ph Voltage THD;IOITSecure447 > R-Ph Current THD;IOITSecure447 > Y-Ph Current THD;IOITSecure447 > B-Ph Current THD
23/12/2023 00:02:00;238.27;241.40;242.82;240.83;415.74;418.27;417.57;30.89;29.19;20.18;14.95;26.31;25.62;20.11;16.19;13.97;1.00;0.85;0.88;1.00;0.92;6.19;6.18;4.78;17.17;3.85;3.36;0.25;7.47;7.36;7.04;4.85;18.89;3.80;4.42;4.34;53.22;38.46;18.03
23/12/2023 00:02:10;238.27;241.40;242.82;240.83;415.74;418.27;417.57;30.89;29.19;20.18;14.95;26.31;25.62;20.11;16.19;13.97;1.00;0.85;0.88;1.00;0.92;6.19;6.18;4.78;17.17;3.85;3.36;0.24;7.45;7.35;7.11;4.92;18.98;3.77;4.40;4.31;53.47;38.11;64.33
23/12/2023 00:02:20;238.35;241.24;242.83;240.81;415.78;418.30;417.36;30.90;30.40;20.11;14.06;26.29;27.00;20.05;16.13;13.86;1.00;0.85;0.89;1.00;0.92;6.18;6.36;4.80;17.36;3.87;3.31;0.24;7.40;7.37;7.23;4.92;18.98;3.77;4.40;4.31;53.47;38.11;64.33
23/12/2023 00:02:30;238.35;241.24;242.83;240.81;415.78;418.30;417.36;30.90;30.40;20.11;14.06;26.29;27.00;20.05;16.13;13.86;1.00;0.85;0.89;1.00;0.92;6.18;6.36;4.80;17.36;3.87;3.31;0.24;7.40;7.37;7.23;4.90;19.07;3.83;4.40;4.31;52.11;36.23;64.34
23/12/2023 00:02:40;238.64;241.52;243.13;241.09;416.06;418.69;417.77;30.82;30.08;20.02;14.12;26.32;26.64;19.97;16.17;13.75;0.80;0.85;0.89;1.00;0.92;6.18;6.38;4.81;17.38;3.84;3.32;0.23;7.41;7.38;7.26;4.90;19.09;3.80;4.44;4.34;52.11;36.23;64.34
23/12/2023 00:02:50;238.34;241.52;243.13;241.09;416.06;418.69;417.77;30.82;30.08;20.02;14.12;26.32;26.64;19.97;16.17;13.75;0.80;0.85;0.89;1.00;0.92;6.18;6.38;4.81;17.38;3.84;3.32;0.23;7.41;7.38;7.26;4.90;19.09;3.80;4.44;4.34;52.28;36.01;64.35
23/12/2023 00:03:00;238.34;241.23;242.79;240.75;415.58;418.17;417.56;23.22;21.60; ;4.95;19.46;18.28;19.97;3.25;-1.11;0.92;0.99;-1.00;1.00;1.00;4.58;4.35;4.78;13.73;0.76;-0.26;0.22;0.73;4.73;4.43;4.86;13.97;3.91;4.44;4.24;83.07;61.36;64.35
23/12/2023 00:03:10;240.34;242.06;241.66;240.75;415.58;418.17;417.56;23.22;21.60; ;4.95;19.46;18.28;19.97;3.25;-1.11;0.92;0.99;-1.00;1.00;1.00;4.58;4.35;4.78;13.73;0.76;-0.26;0.22;0.73;4.73;4.43;4.86;13.97;3.91;4.44;4.24;83.07;61.36;85.75
23/12/2023 00:03:20;240.34;242.06;241.66;241.37;417.09;419.32;417.65;19.67;18.39;20.02;4.94;19.43;18.26;20.10;3.25;-1.06;0.91;0.99;-1.00;1.00;1.00;4.56;4.30;4.78;13.65;0.77;-0.26;0.23;0.70;4.74;4.33;4.82;13.80;3.98;4.41;4.18;83.76;63.70;56.01
23/12/2023 00:03:30;240.29;242.35;241.58;241.40;417.26;419.42;417.65;19.67;18.39;20.02;4.94;19.43;18.26;20.10;3.25;-1.06;0.91;0.99;-1.00;1.00;1.00;4.56;4.30;4.78;13.65;0.77;-0.26;0.23;0.70;4.74;4.33;4.82;13.80;3.98;4.41;4.18;83.76;63.70;56.01
23/12/2023 00:03:40;240.29;242.35;241.58;241.40;417.26;419.42;417.73;19.58;16.60;20.17;6.67;19.37;16.42;20.10;3.30;-1.17;0.90;0.99;-1.00;1.00;1.00;4.56;3.86;4.79;13.15;0.78;-0.28;0.22;0.73;4.72;3.91;4.85;13.42;3.75;4.38;4.18;83.48;70.63;65.24
23/12/2023 00:03:50;240.16;242.35;241.49;241.32;417.12;419.27;417.63;19.61;15.91;20.07;6.67;19.37;16.42;20.10;3.30;-1.17;0.90;0.99;-1.00;1.00;1.00;4.56;3.86;4.79;13.15;0.78;-0.28;0.22;0.73;4.72;3.91;4.85;13.42;3.75;4.38;4.18;83.48;70.63;65.24
23/12/2023 00:04:00;240.16;242.35;241.49;241.32;417.12;419.27;417.63;19.61;15.91;20.07;6.97;19.41;15.83;20.08;3.21;-1.06;0.92;0.99;-1.00;1.00;1.00;4.56;3.78;4.75;13.11;0.77;-0.27;0.23;0.75;4.72;3.84;4.84;13.35;3.71;4.43;4.18;83.42;71.97;64.80
23/12/2023 00:04:10;240.07;242.39;241.48;241.31;417.12;419.27;417.66;19.76;15.67;20.21;6.90;19.33;15.64;20.08;3.21;-1.06;0.92;0.99;-1.00;1.00;1.00;4.56;3.78;4.75;13.11;0.77;-0.27;0.23;0.75;4.72;3.84;4.84;13.35;3.71;4.43;4.18;83.42;71.97;64.80
23/12/2023 00:04:20;240.07;242.39;241.48;241.31;417.12;419.27;417.66;19.76;15.67;20.21;6.90;19.33;15.64;19.86;3.28;-1.08;0.93;0.99;-1.00;1.00;1.00;4.55;3.73;4.76;13.04;0.80;-0.28;0.21;0.77;4.71;3.79;4.85;13.30;3.78;4.51;4.16;83.67;74.09;64.33
23/12/2023 00:04:30;240.41;242.79;241.73;241.65;417.78;419.82;418.10;19.62;15.34;20.01;7.25;19.42;15.40;19.99;3.22;-1.05;0.91;0.99;-1.00;1.00;1.00;4.55;3.73;4.76;13.04;0.80;-0.28;0.21;0.77;4.71;3.79;4.85;13.30;3.78;4.51;4.16;83.67;74.09;64.33
23/12/2023 00:04:40;240.41;242.79;241.73;241.65;417.78;419.82;418.10;19.62;15.34;20.01;7.25;19.42;15.40;19.99;3.22;-1.05;0.91;0.99;-1.00;1.00;1.00;4.55;3.67;4.78;13.00;0.77;-0.26;0.16;0.68;4.71;3.71;4.83;13.19;3.69;4.49;4.17;87.88;76.05;65.77
23/12/2023 00:04:50;240.21;242.68;241.52;241.47;417.53;419.50;417.59;19.50;15.27;20.02;7.35;19.39;15.22;19.99;3.27;-1.03;0.88;0.99;-1.00;1.00;1.00;4.53;3.67;4.78;13.00;0.77;-0.26;0.16;0.68;4.71;3.71;4.83;13.19;3.69;4.49;4.17;87.88;76.05;65.77
23/12/2023 00:05:00;240.21;242.68;241.52;241.47;417.53;419.50;417.59;19.50;15.27;20.02;7.35;19.39;15.22;19.99;3.27;-1.03;0.88;0.99;-1.00;1.00;1.00;4.53;3.63;4.78;12.98;0.77;-0.26;0.17;0.67;4.70;3.69;4.81;13.16;3.69;4.39;4.20;86.71;76.21;44.75
23/12/2023 00:05:10;240.40;242.86;241.74;241.69;417.92;419.80;418.14;19.59;15.24;20.07;7.42;19.31;15.14;20.00;3.20;-1.07;0.91;0.99;-1.00;1.00;1.00;4.56;3.62;4.78;12.96;0.76;-0.26;0.17;0.67;4.70;3.69;4.81;13.16;3.69;4.39;4.20;86.71;76.21;44.75
23/12/2023 00:05:20;240.40;242.86;241.74;241.69;417.92;419.80;418.14;19.59;15.24;20.07;7.42;19.31;15.14;20.00;3.20;-1.07;0.91;0.99;-1.00;1.00;1.00;4.56;3.62;4.78;12.96;0.76;-0.26;0.22;0.75;4.72;3.68;4.83;13.18;3.78;4.45;4.20;87.08;76.53;66.91
23/12/2023 00:05:30;240.33;242.76;241.69;241.63;417.77;419.77;418.06;19.56;15.22;20.05;7.64;19.27;15.14;20.21;3.25;-1.08;0.91;0.99;-1.00;1.00;1.00;4.58;3.63;4.74;12.95;0.76;-0.26;0.23;0.74;4.71;3.68;4.83;13.18;3.78;4.45;4.20;87.08;76.53;66.91
23/12/2023 00:05:40;240.33;242.76;241.69;241.63;417.77;419.77;418.06;19.56;15.22;20.05;7.64;19.27;15.14;20.21;3.25;-1.08;0.91;0.99;-1.00;1.00;1.00;4.58;3.63;4.74;12.95;0.76;-0.26;0.23;0.74;4.71;3.69;4.84;13.19;3.74;4.49;4.16;84.04;76.50;66.03
23/12/2023 00:05:50;240.51;242.93;241.83;241.76;418.05;420.02;418.28;19.71;15.19;20.02;7.48;19.36;15.12;20.06;3.25;-0.98;0.56;0.99;-1.00;1.00;1.00;4.55;3.62;4.76;12.94;0.77;-0.24;0.14;0.68;4.73;3.69;4.85;13.19;3.73;4.50;4.16;84.04;76.50;66.03
23/12/2023 00:06:00;240.51;242.93;241.83;241.76;418.05;420.02;418.28;19.71;15.19;20.02;7.48;19.36;15.12;20.06;3.25;-0.98;0.56;0.99;-1.00;1.00;1.00;4.55;3.62;4.76;12.94;0.77;-0.24;0.14;0.68;4.73;3.69;4.85;13.19;3.73;4.50;4.21;83.83;76.77;29.66
23/12/2023 00:06:10;240.40;242.86;241.79;241.68;417.82;419.90;418.06;19.54;15.15;19.87;7.28;19.36;15.15;19.84;3.22;-1.03;0.90;0.99;-1.00;1.00;1.00;4.56;3.62;4.77;12.95;0.77;-0.25;0.21;0.74;4.70;3.69;4.85;13.19;3.79;4.44;4.16;83.73;76.79;65.27
23/12/2023 00:06:20;240.46;242.99;241.81;241.72;417.82;419.90;418.06;19.54;15.15;19.87;7.28;19.36;15.15;19.84;3.22;-1.03;0.90;0.99;-1.00;1.00;1.00;4.56;3.62;4.77;12.95;0.77;-0.25;0.21;0.74;4.70;3.69;4.85;13.19;3.79;4.44;4.16;83.73;76.79;65.27
23/12/2023 00:06:30;240.46;242.99;241.81;241.72;417.96;419.95;418.10;19.68;15.14;19.86;7.31;19.28;15.13;19.94;3.17;-1.02;0.91;0.99;-1.00;1.00;1.00;4.55;3.62;4.77;12.95;0.77;-0.25;0.22;0.73;4.70;3.68;4.87;13.21;3.90;4.53;4.22;87.09;76.02;65.20
23/12/2023 00:06:40;240.16;242.57;241.46;241.36;417.31;419.37;417.57;19.60;15.21;20.04;7.31;19.28;15.13;19.94;3.17;-1.02;0.91;0.99;-1.00;1.00;1.00;4.55;3.62;4.77;12.95;0.77;-0.25;0.22;0.73;4.70;3.68;4.87;13.21;3.90;4.53;4.22;87.09;76.02;65.20
23/12/2023 00:06:50;240.16;242.57;241.46;241.36;417.31;419.37;417.57;19.60;15.21;20.04;7.37;19.30;15.15;19.96;3.24;-1.04;0.92;0.99;-1.00;1.00;1.00;4.59;3.61;4.80;12.94;0.76;-0.23;0.21;0.74;4.71;3.67;4.85;13.19;3.72;4.46;4.16;85.04;76.94;147.68
23/12/2023 00:07:00;240.00;242.57;241.42;241.35;417.30;419.35;417.44;19.66;15.20;20.04;7.39;19.28;15.14;20.06;3.24;-1.04;0.92;0.99;-1.00;1.00;1.00;4.59;3.61;4.80;12.94;0.76;-0.23;0.21;0.74;4.71;3.67;4.85;13.19;3.72;4.46;4.16;85.04;76.94;147.68
23/12/2023 00:07:10;240.00;242.57;241.42;241.35;417.30;419.35;417.44;19.66;15.20;20.04;7.39;19.28;15.14;20.06;3.20;-1.00;0.68;0.99;-1.00;1.00;1.00;4.57;3.62;4.78;12.95;0.78;-0.25;0.19;0.72;4.74;3.68;4.81;13.15;3.83;4.48;4.24;83.45;76.78;65.54
23/12/2023 00:07:20;240.06;242.58;241.48;241.37;417.16;419.25;417.31;19.56;15.16;20.02;7.45;19.38;15.14;20.19;3.27;-1.00;0.86;0.99;-1.00;1.00;1.00;4.57;3.62;4.78;12.95;0.78;-0.25;0.19;0.72;4.74;3.68;4.81;13.15;3.83;4.48;4.24;83.45;76.78;65.54
23/12/2023 00:07:30;240.06;242.58;241.48;241.37;417.16;419.25;417.31;19.56;15.16;20.02;7.45;19.38;15.14;20.19;3.27;-1.00;0.86;0.99;-1.00;1.00;1.00;4.54;3.62;4.73;12.92;0.79;-0.25;0.23;0.75;4.68;3.68;4.81;13.16;3.72;4.43;4.18;83.13;76.65;76.97
23/12/2023 00:07:40;239.95;242.42;241.37;241.23;417.01;419.15;417.36;19.59;15.16;20.13;7.47;19.30;15.14;20.15;3.21;-1.02;0.68;0.99;-1.00;1.00;1.00;4.53;3.61;4.73;12.92;0.79;-0.25;0.23;0.75;4.68;3.68;4.81;13.16;3.72;4.43;4.18;83.13;76.65;76.97
23/12/2023 00:07:50;239.95;242.42;241.37;241.23;417.01;419.15;417.36;19.59;15.16;20.13;7.47;19.30;15.14;20.15;3.21;-1.02;0.68;0.99;-1.00;1.00;1.00;4.53;3.61;4.73;12.88;0.76;-0.26;0.20;0.74;4.72;3.67;4.81;13.15;3.74;4.47;4.16;83.71;76.62;65.96
23/12/2023 00:08:00;239.53;242.43;241.22;241.07;416.70;418.87;417.06;21.20;15.17;20.17;9.01;20.69;15.18;19.99;4.81;-1.05;0.90;0.97;-1.00;1.00;1.00;4.86;3.62;4.75;13.23;1.14;-0.26;0.21;0.74;4.72;3.67;4.81;13.15;3.74;4.47;4.16;83.71;76.62;65.96
23/12/2023 00:08:10;239.53;242.43;241.22;241.07;416.70;418.87;417.06;21.20;15.17;20.17;9.01;20.69;15.18;19.99;4.81;-1.05;0.90;0.97;-1.00;1.00;1.00;4.86;3.62;4.75;13.23;1.14;-0.26;0.21;1.11;5.09;3.68;4.83;13.49;3.66;4.44;4.16;80.01;76.28;64.16
23/12/2023 00:08:20;239.99;242.93;241.67;241.53;417.52;419.64;417.88;21.28;15.14;20.02;9.15;20.65;15.13;20.09;4.72;-0.96;0.91;0.97;-1.00;1.00;1.00;4.86;3.61;4.83;13.30;1.17;-0.24;0.22;1.13;5.07;3.67;4.89;13.49;3.66;4.44;4.16;80.01;76.28;64.16
23/12/2023 00:08:30;239.99;242.93;241.67;241.53;417.52;419.64;417.88;21.28;15.14;20.02;9.15;20.65;15.13;20.09;4.72;-0.96;0.91;0.97;-1.00;1.00;1.00;4.86;3.61;4.83;13.30;1.17;-0.24;0.22;1.13;5.07;3.67;4.89;13.55;3.70;4.50;4.20;80.43;76.99;27.88
23/12/2023 00:08:40;240.33;243.19;241.81;241.79;418.04;420.01;418.27;21.07;15.17;20.21;9.38;20.58;15.09;20.25;4.79;-0.99;0.92;0.97;-1.00;1.00;1.00;4.84;3.63;4.84;13.29;1.12;-0.26;0.22;1.12;5.10;3.67;4.90;13.52;3.61;4.43;4.09;80.97;76.99;27.88
23/12/2023 00:08:50;239.78;243.19;241.81;241.79;418.04;420.01;418.27;21.07;15.17;20.21;9.38;20.58;15.09;20.25;4.79;-0.99;0.92;0.97;-1.00;1.00;1.00;4.84;3.63;4.84;13.29;1.12;-0.26;0.22;1.12;5.10;3.67;4.90;13.52;3.61;4.43;4.09;80.97;77.09;84.85
23/12/2023 00:09:00;239.78;242.66;241.17;241.22;417.09;419.05;417.26;21.06;15.18;20.27;9.29;20.58;15.14;20.25;4.79;-0.95;0.47;0.97;-1.00;1.00;1.00;4.84;3.61;4.85;13.31;1.15;-0.24;0.15;1.05;5.05;3.67;4.86;13.48;3.53;4.37;4.03;77.45;76.51;18.99
23/12/2023 00:09:10;239.85;242.74;241.27;241.29;417.17;419.12;417.26;21.06;15.18;20.27;9.29;20.58;15.14;20.25;4.79;-0.95;0.47;0.97;-1.00;1.00;1.00;4.84;3.61;4.85;13.31;1.15;-0.24;0.15;1.05;5.05;3.67;4.86;13.48;3.53;4.37;4.03;77.45;76.51;18.99
23/12/2023 00:09:20;239.85;242.74;241.27;241.29;417.17;419.12;417.33;21.03;15.17;20.39;9.41;20.54;15.10;20.22;4.82;-1.01;0.71;0.97;-1.00;1.00;1.00;4.86;3.61;4.78;13.21;1.16;-0.23;0.17;1.09;5.05;3.68;4.88;13.51;3.49;4.38;4.07;77.58;76.94;65.00
23/12/2023 00:09:30;239.77;242.65;241.24;241.22;417.10;419.05;417.32;21.08;15.19;20.07;9.48;20.54;15.10;20.22;4.82;-1.01;0.71;0.97;-1.00;1.00;1.00;4.86;3.61;4.78;13.21;1.16;-0.23;0.17;1.09;5.05;3.68;4.88;13.51;3.49;4.38;4.07;77.58;76.94;65.00
23/12/2023 00:09:40;239.77;242.65;241.24;241.22;417.10;419.05;417.32;21.08;15.19;20.07;9.48;20.63;15.11;20.12;4.81;-0.98;0.71;0.97;-1.00;1.00;1.00;4.83;3.61;4.73;13.20;1.16;-0.25;0.18;1.09;5.09;3.67;4.81;13.46;3.75;4.33;4.06;78.23;76.99;65.00
23/12/2023 00:09:50;239.83;242.70;241.19;241.24;417.18;419.06;417.36;21.14;15.19;20.26;9.65;20.61;15.15;20.05;4.77;-1.02;0.71;0.97;-1.00;1.00;1.00;4.83;3.61;4.73;13.20;1.16;-0.25;0.18;1.09;5.09;3.67;4.81;13.46;3.75;4.33;4.06;78.23;76.99;65.00
23/12/2023 00:10:00;239.83;242.70;241.19;241.24;417.18;419.06;417.36;21.14;15.19;20.26;9.65;20.61;15.15;20.05;4.77;-1.02;0.71;0.97;-1.00;1.00;1.00;4.84;3.63;4.76;13.24;1.16;-0.26;0.16;1.10;5.09;3.69;4.84;13.47;3.62;4.20;4.07;78.42;77.21;125.72
23/12/2023 00:10:10;239.70;242.54;241.09;241.12;416.96;418.85;417.21;21.16;15.18;20.13;9.08;20.57;15.12;19.80;4.85;-0.96;0.74;0.97;-1.00;1.00;1.00;4.84;3.63;4.76;13.24;1.16;-0.26;0.16;1.10;5.09;3.69;4.84;13.47;3.62;4.20;4.07;78.42;77.21;125.72
23/12/2023 00:10:20;239.70;242.54;241.09;241.12;416.96;418.85;417.21;21.16;15.18;20.13;9.08;20.57;15.12;19.80;4.85;-0.96;0.74;0.97;-1.00;1.00;1.00;4.84;3.61;4.76;13.23;1.16;-0.24;0.17;1.09;5.08;3.69;4.83;13.49;3.58;4.37;4.06;77.73;76.47;29.56
23/12/2023 00:10:30;239.89;242.75;241.29;241.30;417.26;419.24;417.50;21.18;15.16;19.88;8.96;20.44;15.09;20.02;4.78;-1.03;0.72;0.97;-1.00;1.00;1.00;4.85;3.62;4.76;13.22;1.15;-0.25;0.17;1.09;5.08;3.69;4.83;13.49;3.58;4.37;4.06;77.73;76.47;29.56
23/12/2023 00:10:40;239.89;242.75;241.29;241.30;417.26;419.24;417.50;21.18;15.16;19.88;8.96;20.44;15.09;20.02;4.78;-1.03;0.72;0.97;-1.00;1.00;1.00;4.85;3.62;4.76;13.22;1.15;-0.25;0.16;1.07;5.08;3.67;4.83;13.46;3.53;4.34;4.05;77.01;76.96;96.07
23/12/2023 00:10:50;239.73;242.57;241.10;241.14;417.00;418.85;417.13;21.12;15.14;19.93;9.07;20.48;15.16;19.99;4.79;-1.06;0.56;0.97;-1.00;1.00;1.00;4.85;3.62;4.78;13.24;1.16;-0.25;0.14;1.05;5.09;3.68;4.83;13.46;3.53;4.34;4.05;77.01;76.96;96.07
23/12/2023 00:11:00;239.73;242.57;241.10;241.14;417.00;418.85;417.13;21.12;15.14;19.93;9.07;20.48;15.16;19.99;4.79;-1.06;0.56;0.97;-1.00;1.00;1.00;4.85;3.62;4.78;13.24;1.16;-0.25;0.14;1.05;5.09;3.68;4.83;13.48;3.70;4.37;4.08;80.71;76.87;66.31
23/12/2023 00:11:10;240.12;242.52;241.27;241.30;417.22;418.96;417.36;19.61;15.13;19.93;7.60;19.49;15.16;19.89;3.17;-0.96;0.61;0.99;-1.00;1.00;1.00;4.57;3.62;4.76;12.91;0.77;-0.25;0.17;0.69;4.74;3.66;4.83;13.11;3.53;4.35;4.04;87.23;76.89;66.31
23/12/2023 00:11:20;239.95;242.39;241.27;241.30;417.22;418.96;417.36;19.61;15.13;19.93;7.60;19.49;15.16;19.89;3.17;-0.96;0.61;0.99;-1.00;1.00;1.00;4.57;3.62;4.76;12.91;0.77;-0.25;0.17;0.69;4.74;3.66;4.83;13.11;3.53;4.35;4.04;87.23;76.89;65.24
23/12/2023 00:11:30;239.95;242.39;241.16;241.22;417.11;418.98;417.17;19.58;15.18;20.00;7.41;19.26;15.09;19.94;3.27;-1.01;0.72;0.99;-1.00;1.00;1.00;4.55;3.61;4.76;12.91;0.78;-0.25;0.17;0.70;4.73;3.68;4.79;13.11;3.55;4.36;4.04;83.73;77.17;66.62
23/12/2023 00:11:40;239.95;241.92;240.67;240.84;416.48;417.90;416.71;19.58;15.18;20.00;7.41;19.26;15.09;19.94;3.27;-1.01;0.72;0.99;-1.00;1.00;1.00;4.55;3.61;4.76;12.91;0.78;-0.25;0.17;0.70;4.73;3.68;4.79;13.11;3.55;4.36;4.04;83.73;77.17;66.62
23/12/2023 00:11:50;239.95;241.92;240.67;240.84;416.48;417.90;416.71;19.52;15.12;20.37;8.23;19.40;15.11;20.02;3.24;-0.98;0.76;0.99;-1.00;1.00;1.00;4.56;3.59;4.71;12.87;0.79;-0.22;0.18;0.71;4.70;3.66;4.80;13.12;3.64;4.20;3.95;83.15;77.03;381.46
